Drug1	Drug2
DB00917	DB00107
DB00917	DB00668
DB00917	DB00929
DB00917	DB00353
DB00917	DB00429
DB00917	DB00559
DB00917	DB06262
DB00917	DB01160
DB00741	DB01412
DB00741	DB00599
DB00741	DB01354
DB00741	DB00936
DB00741	DB00783
DB00741	DB00945
DB00741	DB00554
DB00741	DB00233
DB00741	DB00681
DB00741	DB01045
DB00741	DB00284
DB00741	DB00819
DB00741	DB00414
DB00741	DB00887
DB00741	DB00672
DB00741	DB00310
DB00741	DB01211
DB00741	DB00900
DB00741	DB00903
DB00741	DB00695
DB00741	DB01067
DB00741	DB01016
DB00741	DB00999
DB00741	DB00808
DB00741	DB00244
DB00741	DB00839
DB00741	DB01124
DB00741	DB00214
DB00741	DB00197
DB00741	DB00418
DB00741	DB00524
DB00741	DB01325
DB00741	DB00794
DB00741	DB01229
DB00741	DB00312
DB00741	DB01174
DB00741	DB00252
DB00741	DB00880
DB00741	DB01351
DB00741	DB01398
DB00741	DB00222
DB00741	DB00912
DB00741	DB04830
DB00741	DB00412
DB00741	DB00491
DB00741	DB00774
DB00741	DB00232
DB00741	DB01324
DB00741	DB01021
DB00741	DB01352
DB00741	DB00849
DB00741	DB01128
DB00741	DB00814
DB00741	DB01355
DB00741	DB00731
DB00741	DB00872
DB00741	DB00349
DB00741	DB00606
DB00741	DB01072
DB00741	DB00463
DB00741	DB01120
DB00741	DB02925
DB00741	DB04878
DB00741	DB01252
DB00741	DB01505
DB00741	DB02383
DB00741	DB04831
DB00741	DB01251
DB00741	DB01353
DB00741	DB00047
DB00741	DB01609
DB00741	DB00266
DB00741	DB01259
DB00741	DB01276
DB00741	DB01306
DB00741	DB00046
DB00741	DB01307
DB00741	DB01309
DB00741	DB00331
DB00741	DB00474
DB00741	DB01278
DB00741	DB06655
DB00741	DB06717
DB00741	DB01418
DB00107	DB00917
DB00107	DB00368
DB00107	DB00917
DB00107	DB00668
DB00107	DB00770
DB00107	DB00531
DB00107	DB00654
DB00107	DB00929
DB00107	DB00429
DB00107	DB06262
DB00107	DB01160
DB00107	DB00287
DB00755	DB00162
DB00755	DB00773
DB00755	DB00513
DB00755	DB00987
DB00755	DB00305
DB00755	DB01045
DB00755	DB00970
DB00755	DB00564
DB00755	DB00515
DB00755	DB00257
DB00755	DB00531
DB00755	DB00851
DB00755	DB00196
DB00755	DB01099
DB00755	DB01005
DB00755	DB01181
DB00755	DB01167
DB00755	DB01026
DB00755	DB01229
DB00755	DB00252
DB00755	DB00683
DB00755	DB00582
DB00755	DB00544
DB00755	DB00639
DB00755	DB01110
DB00755	DB00239
DB00755	DB00251
DB00755	DB01007
DB00755	DB00302
DB00755	DB00650
DB00755	DB00958
DB00755	DB00309
DB00755	DB00526
DB00755	DB01073
DB00755	DB01263
DB00755	DB00047
DB00755	DB01127
DB00755	DB01306
DB00755	DB00046
DB00755	DB01307
DB00755	DB01309
DB00668	DB01063
DB00668	DB01412
DB00668	DB00150
DB00668	DB01235
DB00668	DB00368
DB00668	DB00917
DB00668	DB00107
DB00668	DB00668
DB00668	DB01364
DB00668	DB00502
DB00668	DB00284
DB00668	DB00414
DB00668	DB00543
DB00668	DB00335
DB00668	DB00887
DB00668	DB01136
DB00668	DB00477
DB00668	DB00672
