accuracy,average_precision,f1,fold,method,precision,recall,roc_auc,run
0.655831739961759,0.706740340805869,0.6601636249213341,8.0,Naive Bayes,0.6519577377252952,0.668578712555768,0.7117546251556417,2.0
0.7033142128744423,0.7482545352350938,0.70578320868008,8.0,Logistic Regression,0.6999582114500627,0.7117059698321648,0.7626901140191017,2.0
0.7639685574676014,0.8338183885715618,0.7674272555997487,8.0,Random Forest,0.7563441303899319,0.7788400254939452,0.8398209881282366,2.0
0.659124707881878,0.7105669982973681,0.6593779853518734,9.0,Naive Bayes,0.6588884174798473,0.6598682812831952,0.7148653161519563,2.0
0.6946037816018695,0.7526116142251364,0.6952835188129305,9.0,Logistic Regression,0.6937394247038917,0.6968345018058211,0.7632728043958054,2.0
0.7630125345230507,0.8338578796849615,0.7639902676399027,9.0,Random Forest,0.7608512431521282,0.7671553006161037,0.8389732661564898,2.0
0.6520815632965166,0.705445024965078,0.6581803005008346,0.0,Naive Bayes,0.6468416735028713,0.6699235344095157,0.7101467864312376,3.0
0.6913763806287171,0.741035173635902,0.6967863105175293,0.0,Logistic Regression,0.6847826086956522,0.7092183517417162,0.7559288714088855,3.0
0.7673109600679694,0.8348946605804756,0.7712704875247938,0.0,Random Forest,0.7583658386368303,0.7846219201359388,0.8396811335069143,3.0
0.6484706881903144,0.700691246422316,0.6489925768822905,1.0,Naive Bayes,0.6480304955527318,0.6499575191163977,0.7044781871309992,3.0
0.6915887850467289,0.7482505628171834,0.691654279040136,1.0,Logistic Regression,0.6915074309978768,0.6918011894647409,0.7587963310520461,3.0
0.7665675446049278,0.82987540334666,0.7684853591742153,1.0,Random Forest,0.7622231508566653,0.7748513169073916,0.8387208020621816,3.0
0.6618521665250637,0.7154487275529496,0.6668061950606949,2.0,Naive Bayes,0.6571782178217822,0.6767204757858963,0.7165269946705801,3.0
0.699660152931181,0.756463505080843,0.7010570824524313,2.0,Logistic Regression,0.6978114478114478,0.7043330501274426,0.7641844464383551,3.0
0.7685853865760408,0.8425559080575837,0.7719518576661434,2.0,Random Forest,0.7608830204250051,0.7833474936278675,0.8465524705683632,3.0
0.6628079864061173,0.7168426580313553,0.6683380340541105,3.0,Naive Bayes,0.6575539568345323,0.679481733220051,0.7216710795774867,3.0
0.7059260832625318,0.7525263955655713,0.7108093994778067,3.0,Logistic Regression,0.6991986850215739,0.7228122344944775,0.7697480165361441,3.0
0.7778249787595582,0.8374062348079784,0.7837502584246434,3.0,Random Forest,0.7633910592025775,0.8052251486830926,0.844544599152981,3.0
0.6640824129141886,0.7237542239746051,0.6675775091960062,4.0,Naive Bayes,0.6607031412523403,0.6745964316057774,0.7247696666279273,3.0
0.7033772302463891,0.7523766097254454,0.7065251654933278,4.0,Logistic Regression,0.6991058432106467,0.7141036533559898,0.7695025423563644,3.0
0.7752761257434154,0.8409336070559551,0.7793534932221062,4.0,Random Forest,0.765464973371569,0.7937553101104503,0.8460598078146058,3.0
0.6622769753610875,0.7083575901111228,0.6658259773013872,5.0,Naive Bayes,0.6589018302828619,0.6728971962616822,0.7173252256323227,3.0
0.6932880203908242,0.744386303389698,0.6940029667302394,5.0,Logistic Regression,0.6923890063424947,0.695624468988955,0.7586286813457308,3.0
0.7658241291418861,0.8348222497135822,0.7681144179198656,5.0,Random Forest,0.7606748594042908,0.7757009345794392,0.8427919017792884,3.0
0.6509133389974512,0.7066064807863269,0.6529405553795797,6.0,Naive Bayes,0.6491706907411295,0.6567544604927783,0.7085385493265499,3.0
0.6910577740016992,0.7424725547611394,0.6940792933010832,6.0,Logistic Regression,0.6873568006665278,0.7009345794392523,0.756390855529625,3.0
0.7629566694987255,0.833035096340411,0.7667711598746082,6.0,Random Forest,0.7546277252159606,0.7793118096856415,0.8361474963708981,3.0
0.6631612492033142,0.7039631116887352,0.6655416095348592,7.0,Naive Bayes,0.6608713866778383,0.6702783089016359,0.714252611127653,3.0
0.6898236668791162,0.7420748027125094,0.6946245555323155,7.0,Logistic Regression,0.6840370751802266,0.7055449330783938,0.7536053346454925,3.0
0.7621627363501169,0.829046255614468,0.7659663426361452,7.0,Random Forest,0.7539094650205761,0.7784151264074782,0.8381361508647219,3.0
0.6653919694072657,0.7210359902191374,0.6686303387334316,8.0,Naive Bayes,0.6622212961033549,0.675164648396006,0.724792897803194,3.0
0.6909921393669004,0.7534780213731049,0.6936282253817798,8.0,Logistic Regression,0.6877610693400167,0.6995963458678564,0.7614267004618058,3.0
0.7693860208200552,0.8393658005386153,0.7714014952090134,8.0,Random Forest,0.7647181628392484,0.7782026768642447,0.846426647879754,3.0
0.6522200977267899,0.7081672237701095,0.6585314977054652,9.0,Naive Bayes,0.6467936898176603,0.6707032079881028,0.7128174596243186,3.0
0.6987465476949225,0.7497422065791232,0.7015365186276573,9.0,Logistic Regression,0.6950990615224192,0.7080943275971957,0.7640387420946948,3.0
0.766199277671553,0.84134340158234,0.7688753544051244,9.0,Random Forest,0.7601744186046512,0.7777777777777778,0.845710584144169,3.0
0.659303313508921,0.716389181464206,0.6651356993736952,0.0,Naive Bayes,0.6539408866995073,0.6767204757858963,0.7167095325370364,4.0
