,accuracy,average_precision,f1,fold,method,precision,recall,roc_auc,run
0,0.6430572228891557,0.7226851372933674,0.6605783866057839,0.0,Naive Bayes,0.6296699310845122,0.6946778711484594,0.7095192618864272,0.0
1,0.6616646658663465,0.747074116770669,0.6670604449694821,0.0,Logistic Regression,0.6565891472868217,0.6778711484593838,0.7287113324721646,0.0
2,0.650860344137655,0.7304175646353721,0.6114451124471164,0.0,Random Forest,0.6892570281124498,0.5494197679071628,0.7180126152101497,0.0
0,0.6486349848331648,0.7085505587307928,0.6525,9.0,Naive Bayes,0.6454005934718101,0.659757330637007,0.7026392951383316,1.0
1,0.647876643073812,0.7126514590028485,0.6148742051423832,9.0,Logistic Regression,0.6784624771201953,0.5621840242669363,0.7005528968297379,1.0
2,0.6486349848331648,0.709879107112892,0.5899705014749261,9.0,Random Forest,0.7082152974504249,0.5055611729019212,0.7113261038256002,1.0
0,0.5948566610455311,0.6560510295485505,0.6235801018409715,8.0,Naive Bayes,0.5822970007315289,0.6711635750421585,0.6446758699726147,1.0
1,0.6159359190556493,0.6640984716217425,0.5842081241442263,8.0,Logistic Regression,0.6368159203980099,0.5396290050590219,0.6682268753785735,1.0
2,0.6153035413153457,0.6755348494785669,0.5758772949105274,8.0,Random Forest,0.6416364577938892,0.5223440134907251,0.6636470244476738,1.0
0,0.6702168124762267,0.7474397749458741,0.7024708304735758,7.0,Naive Bayes,0.6398874648327603,0.7786230505895778,0.7420944606353252,1.0
1,0.6766831494864968,0.7601710498517842,0.6904588492352512,7.0,Logistic Regression,0.662242403073699,0.7211867630277672,0.7437928272026861,1.0
2,0.6732597945987068,0.7582015588362909,0.6624754420432221,7.0,Random Forest,0.6850873628606258,0.6413084823126665,0.7508588770742,1.0
0,0.645135244247073,0.6945660438667075,0.6528436018957346,6.0,Naive Bayes,0.6389640510243525,0.667339523617279,0.6918387151295349,1.0
1,0.6522002422285023,0.6958438785526173,0.6282632146709817,6.0,Logistic Regression,0.6746987951807228,0.5878078320549052,0.6945231617355244,1.0
2,0.6645135244247073,0.7155248537378422,0.6172270842929525,6.0,Random Forest,0.7184986595174263,0.540976988292289,0.7158298004947903,1.0
0,0.6356569709127382,0.7003267686813569,0.6678857142857142,5.0,Naive Bayes,0.613607727845443,0.7326980942828486,0.69776329992988,1.0
1,0.6675025075225677,0.7163076405584105,0.6620795107033639,5.0,Logistic Regression,0.6730569948186529,0.6514543630892679,0.7191796050136368,1.0
2,0.6574724172517553,0.7158151043513774,0.641281512605042,5.0,Random Forest,0.6730981256890849,0.6123370110330993,0.713942982407604,1.0
0,0.6420816173717708,0.6995326367668075,0.6658511010136315,4.0,Naive Bayes,0.6243854473942969,0.7132160239610633,0.6925405239323987,1.0
1,0.6531261699737926,0.7217008285210176,0.6488535152548797,4.0,Logistic Regression,0.656945510360706,0.6409584425308873,0.7112787471014786,1.0
2,0.6587420441782104,0.7151929357223161,0.6258978042273753,4.0,Random Forest,0.6925522252497729,0.5709472107824785,0.709921349727322,1.0
0,0.6248640811888365,0.6624345962356284,0.643595041322314,3.0,Naive Bayes,0.6129878648737291,0.6774193548387096,0.6713763292849879,1.0
1,0.6350126857557086,0.6913166965488127,0.6253720238095237,3.0,Logistic Regression,0.642338555598013,0.6092787241754258,0.689681704648177,1.0
2,0.6429865893439652,0.6876875744205999,0.6031426269137792,3.0,Random Forest,0.6789115646258503,0.5425878941645523,0.696846565347899,1.0
0,0.6489665003563792,0.7383996638467046,0.6866051543111676,2.0,Naive Bayes,0.6201149425287357,0.7690662865288667,0.7282408661004903,1.0
1,0.6865645046329294,0.7516057202874581,0.7002896575225763,2.0,Logistic Regression,0.6709108716944172,0.7323592302209551,0.757924674191187,1.0
2,0.6911974340698503,0.7569894827872827,0.6837014053659427,2.0,Random Forest,0.700710811821923,0.6674982181040627,0.7564106341720648,1.0
0,0.6708333333333333,0.743557416880245,0.7006544953496383,1.0,Naive Bayes,0.6424510423247,0.7704545454545455,0.7510010617539027,1.0
