Drug	feature0	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	feature28	feature29	feature30	feature31	feature32	feature33	feature34	feature35	feature36	feature37	feature38	feature39	feature40	feature41	feature42	feature43	feature44	feature45	feature46	feature47	feature48	feature49
DB01142	0.07686072	0.0008345267	0.062610865	0.021537043	-0.103044435	-0.0613701	-0.20242245	-0.120342195	-0.20448546	-0.012003105	0.16523461	-0.16717052	0.18345447	-0.07928598	-0.2375488	0.11924215	-0.1585933	-0.13028397	0.060687862	-0.101500265	0.13905802	-0.08213279	-0.089712456	-0.122081175	-0.16681083	0.22859249	0.2180414	-0.029809602	0.18483709	-0.0321008	0.07515843	0.21382847	-0.03233966	-0.06400541	-0.1328625	0.13184665	0.06514554	0.0514571	-0.18417847	-0.025177086	-0.1328745	0.00942263	-0.019194117	-0.19163464	-0.02505978	-0.042574227	0.045583103	-0.07967453	-0.1652727	0.18058565
DB01141	0.09329172	0.0022886563	0.07122257	-0.044975635	-0.08513137	0.01711258	-0.19722049	-0.11784894	-0.12487933	-0.082008794	0.15238675	-0.14279012	0.21493448	-0.014826475	-0.21892628	0.021774337	-0.08539108	-0.14488396	0.024051778	-0.090979695	0.13680711	-0.116055205	-0.085290164	-0.080478445	-0.10725404	0.18739712	0.20883702	0.00086603477	0.21774927	-0.1120473	0.06679912	0.18181978	-0.022827735	-0.08188255	-0.10460719	0.14421906	0.0391179	0.022077635	-0.122762576	0.03954527	-0.04411797	0.028253539	-0.04575176	-0.12771606	-0.0040150476	-0.091018446	0.058785804	-0.084510975	-0.10418294	0.115293995
DB01140	0.08862709	0.010489939	0.06680925	0.022891525	-0.12901501	-0.010304799	-0.19544415	-0.116739556	-0.15926403	-0.07277523	0.15499173	-0.15192127	0.19744086	-0.02638158	-0.18948619	0.07689323	-0.09531741	-0.17135412	0.06003802	-0.098548755	0.14357528	-0.12576436	-0.022759447	-0.10684556	-0.10195841	0.17567714	0.18395765	-0.027574878	0.16060916	-0.02400067	0.030633068	0.2173248	-0.013155764	-0.06942225	-0.11746327	0.122858495	0.010550348	0.021923922	-0.16396911	0.008292468	-0.0066290665	0.012716981	0.017019145	-0.18338712	0.008325607	-0.06417718	0.04903665	-0.09938461	-0.1431324	0.11992602
DB00324	0.09244444	0.059603866	0.043940846	0.023528893	-0.08798686	0.022505581	-0.19896072	-0.12614262	-0.15345864	-0.057619352	0.12586269	-0.14851195	0.21025477	-0.06387421	-0.21577206	0.071464814	-0.17410056	-0.141571	0.08869863	-0.14840095	0.10412042	-0.10483191	-0.039386757	-0.10427231	-0.104699664	0.17703997	0.21771546	-0.008188296	0.2164873	-0.11558491	0.06401703	0.25588945	-0.023216693	-0.10188404	-0.116889685	0.14942537	0.029864226	-0.016724898	-0.122940645	0.054607548	-0.08208307	0.026318228	-0.011946801	-0.17698464	-0.04044155	-0.06307721	0.10112151	-0.046685986	-0.123027414	0.12430483
DB00325	0.0712833	0.03322503	0.073160626	0.0022558477	-0.07996011	-0.047024462	-0.17249689	-0.14758275	-0.16641042	-0.06873629	0.13252598	-0.09547243	0.18317784	-0.016448675	-0.18346688	0.08328894	-0.10247821	-0.15780199	0.051119216	-0.064168066	0.089928545	-0.0686687	-0.03501954	-0.11676644	-0.13142063	0.047705058	0.16225377	0.029825244	0.19540523	-0.0854997	0.048825987	0.12446678	-0.06259875	-0.00015537883	-0.11417012	0.15715672	0.03777171	0.041728266	-0.1250483	0.037311178	-0.10593527	-0.0012962208	-0.018555446	-0.14413872	-0.0011332968	-0.09113075	0.09754336	-0.15672897	-0.15752225	0.13638261
DB00326	0.13663574	0.013567386	0.061635505	0.026460672	-0.07289008	-0.050258297	-0.16603307	-0.12847745	-0.104614384	-0.05046475	0.091794744	-0.11195455	0.18399128	-0.048911452	-0.20036861	0.00019831222	-0.07954111	-0.08303073	0.07420866	-0.1048433	0.1310678	-0.07473529	-0.07363909	-0.113429725	-0.02586655	0.049630176	0.2140943	-0.017028907	0.21942367	-0.104411274	0.094458856	0.22446908	-0.039302245	0.007202138	-0.1321338	0.11527775	0.048102975	0.02752586	-0.10388664	0.007769488	0.014072364	0.0076080225	0.0013539243	-0.11663532	-0.008846441	-0.08459449	0.09023117	-0.039409317	-0.12786067	0.112516604
DB00327	0.050928243	0.0130559	0.07345813	0.006553484	-0.073001035	-0.032556932	-0.19969222	-0.13458459	-0.16375256	-0.019218516	0.15471925	-0.16242725	0.17731155	-0.05434883	-0.24515028	0.01686276	-0.15818557	-0.15438463	0.09265288	-0.14342237	0.12546174	-0.056834437	-0.08641353	-0.11822781	-0.13999444	0.15351096	0.20856139	-0.020094912	0.21347971	-0.053835504	0.07185138	0.24701326	-0.023617364	-0.030884592	-0.13533969	0.18572791	0.036327124	0.02669196	-0.16620104	0.05488426	-0.11919241	0.03389865	0.004581123	-0.20059459	-0.043161914	-0.052431177	0.07718057	-0.06846448	-0.17245723	0.14992346
DB00320	0.066491745	0.03596328	0.055185996	0.008706799	-0.08646918	-0.053970143	-0.221696	-0.12601362	-0.16213822	-0.079904556	0.145493	-0.14867756	0.19014305	-0.061523538	-0.19993643	0.076653525	-0.16868614	-0.12797835	0.017512202	-0.14339818	0.13017163	-0.11675234	-0.060235944	-0.10749444	-0.11572431	0.15345864	0.21237133	-0.0061716884	0.19658844	-0.050595902	0.034982063	0.21275882	-0.029817123	-0.11235396	-0.10469282	0.17960536	0.04212294	0.041872103	-0.14067215	0.05157043	-0.11227872	0.04690603	-0.016975531	-0.20993806	-0.022459486	-0.10047767	0.09303509	-0.1517697	-0.14434125	0.12926853
DB00321	0.064066894	0.01957557	0.06247807	0.00036867172	-0.103049494	-0.07045822	-0.22019966	-0.114573225	-0.19503087	-0.04879502	0.16525038	-0.15017898	0.17801969	-0.08448618	-0.23923862	0.13832992	-0.17238308	-0.13362518	0.033409595	-0.08610537	0.12669553	-0.07287581	-0.0651235	-0.10139324	-0.16262276	0.18611023	0.1871301	-0.06329701	0.1603298	-0.04559269	0.052170176	0.2130378	-0.013010645	-0.06851441	-0.14076586	0.19157599	0.0577754	0.051474933	-0.1738022	-0.024266882	-0.15035962	0.030637635	-0.0033545243	-0.19824913	-0.039646707	-0.07728054	0.08932061	-0.13375342	-0.1984516	0.1829889
DB01149	0.06597499	0.022527823	0.041566174	0.0017450899	-0.09289376	-0.05182885	-0.21375304	-0.13931695	-0.15050663	-0.04237256	0.13939647	-0.15992498	0.19326787	-0.049950663	-0.2208467	0.12536785	-0.14792304	-0.15969002	0.03451088	-0.09321999	0.14630815	-0.079452984	-0.07147451	-0.11945082	-0.15854476	0.19153671	0.19987977	-0.013784923	0.18603678	-0.04468236	0.055172563	0.18212137	-0.00793156	-0.09924782	-0.1133067	0.15901756	-0.0021328153	0.01423065	-0.1720443	0.029939104	-0.037606377	0.01287456	-0.01799552	-0.19736065	-0.037605535	-0.058185805	0.10541942	-0.11300072	-0.1332742	0.1437884
DB00323	0.11617596	0.0137199275	0.07633851	0.020011315	-0.10286282	-0.016394816	-0.19212152	-0.1524725	-0.14514308	-0.050247937	0.13352245	-0.1491787	0.19402978	-0.059478924	-0.20349042	0.0146215055	-0.15750565	-0.13505326	0.09228153	-0.12513775	0.11746363	-0.11627635	-0.05153073	-0.11831376	-0.09552229	0.17069761	0.21536605	-0.01799684	0.20978233	-0.07894864	0.047061533	0.21009292	-0.055863682	0.007322264	-0.10386233	0.13089845	0.05042552	0.028862132	-0.14552955	0.03763648	-0.05540491	0.04947487	-0.014546642	-0.14865977	-0.008427335	-0.13686028	0.09596445	-0.054260615	-0.13042459	0.14373402
DB08795	0.101519845	0.025791336	0.06440921	-0.05701749	-0.10316535	-0.02393078	-0.19455126	-0.07044469	-0.16650918	-0.06705506	0.121174425	-0.12589623	0.21974982	-0.024018142	-0.16455816	0.11603231	-0.051257096	-0.11439939	0.051723067	-0.06186324	0.14068042	-0.118426785	-0.043300904	-0.1042093	-0.09605465	0.21228166	0.19272529	0.0025710645	0.2040301	-0.10321672	0.048915826	0.11212477	-0.016084284	-0.09655994	-0.042423535	0.13679183	-0.0031682122	0.017189225	-0.15907732	-0.03271095	-0.0148022715	0.091449246	-0.048549164	-0.1839074	-0.02216563	-0.05356926	0.031248616	-0.18072611	-0.13740073	0.12457684
DB08794	0.07943998	0.046715826	0.03914395	-0.029221972	-0.060083497	0.05935971	-0.08855781	-0.13505098	-0.10481426	-0.00514835	0.031228794	-0.007821765	0.07852573	-0.06636435	-0.13509944	0.03557373	-0.04005954	-0.168823	-0.0036033108	-0.026972124	0.06548604	-0.12978974	-0.09856335	-0.11034881	-0.060549885	0.120706856	0.089100726	0.15674157	0.16545768	-0.101848245	0.12791811	0.19344363	-0.05960645	-0.098707095	-0.07527274	0.07549917	-0.06342397	-0.005960176	-0.09179702	-0.02833212	0.0067363856	0.06901919	-0.06407123	-0.18122189	-0.042268075	-0.08360886	0.029630922	-0.15290971	-0.1253936	0.10382365
DB08797	0.07810738	0.028330447	0.056523792	-0.024614675	-0.037613567	0.006552467	-0.069853805	-0.089689516	-0.11900982	-0.048862066	0.12547934	-0.10636819	0.1006735	-0.044457126	-0.1980169	0.009869514	-0.016343	-0.17367795	0.012564341	-0.091611505	0.13435313	-0.09430704	-0.054088395	-0.08156169	0.0096922405	0.09251332	0.1459697	0.09598626	0.19165681	-0.08244485	0.050395075	0.2169053	-0.017030885	0.023734566	-0.108735725	0.13145758	-0.0605791	0.04159753	-0.1021521	0.009403539	-0.053873237	0.076556474	-0.09404082	-0.16791926	-0.04163703	-0.082950935	0.038253617	-0.03372575	-0.13399698	0.13662459
DB08796	0.096059896	0.026629327	0.07895536	-0.050519716	-0.08748385	0.048048675	-0.055090025	-0.11703718	-0.12124111	-0.032569174	0.07604766	-0.013445154	0.19654219	-0.061446413	-0.18563749	0.019057853	-0.06854758	-0.16087677	0.076732814	-0.03869342	0.10784174	-0.11990352	-0.046254046	-0.10574364	-0.0534053	0.055813294	0.17418544	-0.021481745	0.1656378	-0.1328439	0.08726309	0.13643174	-0.041409932	0.0014845358	-0.10505986	0.06120318	-0.042001083	0.0055135973	-0.118029945	0.0054423306	0.017405737	0.05070838	-0.060269978	-0.04293991	-0.023038108	-0.08018655	0.052414846	-0.07454347	-0.019304205	0.033319548
DB08799	0.07909452	0.044192106	0.06961317	-0.03276073	-0.073763125	0.030766746	-0.05479137	-0.04720445	-0.15479873	-0.06465478	0.07399526	-0.04276999	0.18829873	-0.07313708	-0.16431747	0.080652535	-0.027818408	-0.05728016	0.035237756	-0.0803619	0.11795445	-0.13983227	-0.07917454	-0.11510832	-0.046671852	0.06399335	0.17875794	-0.009340126	0.22023924	-0.13310729	0.06748558	0.13127443	-0.035353806	-0.06444577	-0.11306544	0.114147455	0.059261374	0.0025974568	-0.083528355	0.027266726	-0.01932364	0.067696206	-0.068782724	-0.096420005	-0.040850367	-0.07325398	0.062339593	-0.084883094	0.00521838	0.14043228
DB08798	0.12082215	0.012315704	0.043251976	-0.040469695	-0.07636411	0.021512624	-0.18627933	-0.11041923	-0.13608244	-0.07397058	0.094560765	-0.068792015	0.19427474	-0.06424627	-0.17621619	0.09990385	-0.04835094	-0.13265005	-0.017415967	-0.06619315	0.100988135	-0.11516938	-0.09776474	-0.1078309	-0.07900815	0.1692238	0.19397582	0.026101075	0.22535495	-0.10088116	0.0640356	0.16024998	-0.018152919	-0.052659053	-0.0989168	0.0907624	-0.046780042	0.017567933	-0.10934882	-0.005088472	0.011069932	0.06707786	-0.048136372	-0.15863062	-0.0022625476	-0.07862442	0.07329196	-0.09474378	-0.114968285	0.117002696
DB00030	0.06993966	0.022337386	0.088293076	0.066070564	-0.12393871	-0.045723047	-0.14978805	-0.14665	-0.19732878	-0.027960751	0.085980125	-0.14651327	0.15127297	-0.07961344	-0.1680967	0.15743421	-0.098495424	-0.077307746	-0.021113204	-0.1000653	0.027175648	-0.10836108	-0.0029406515	-0.11399522	-0.18968365	0.15305595	0.19866057	-0.07254334	0.204362	-0.02285554	0.03188463	0.019670125	-0.048566833	-0.103028245	-0.07900894	0.08261095	0.11218378	-0.0057770945	-0.14079224	-0.005514756	-0.10509133	0.04644971	0.09752327	-0.11673595	-0.020910831	-0.07596118	0.10465517	-0.07698107	-0.10149533	0.13183427
