Drug	feature0	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	feature28	feature29	feature30	feature31	feature32	feature33	feature34	feature35	feature36	feature37	feature38	feature39	feature40	feature41	feature42	feature43	feature44	feature45	feature46	feature47	feature48	feature49
DB01484	-0.07021771	0.08499448	0.11806195	0.04086979	-0.16791633	-0.11926609	-0.10573114	-0.19098619	0.025243374	-0.16025524	0.076774485	0.0456408	-0.062234163	-0.091187604	-0.12371129	-0.0689726	0.16334215	0.11691388	-0.045292772	-0.002221099	0.13463801	-0.06714337	0.08841494	-0.09847729	0.020000393	-0.10012543	-0.09702263	0.05630765	0.082526855	0.025178308	0.14362384	0.07753046	0.091923244	-0.10391632	-0.056657404	0.014962215	0.045747668	0.00937161	-0.14718229	0.031820804	-0.09551972	-0.09618802	0.19058757	0.08539642	-0.116997354	0.04425275	0.0011110205	0.029648885	-0.12654465	-0.033907056
DB01483	-0.1376126	0.088653564	0.22029626	-0.023310576	-0.13844249	-0.09042624	-0.11284181	-0.1632885	0.12556027	-0.0046991566	0.113895796	-0.079031415	0.05073018	-0.06663632	-0.1316659	-0.055905133	0.14138557	0.037467	0.0037017176	-0.1014627	0.1090196	0.051821053	0.18330021	0.060217608	-0.018513205	0.016837556	-0.15035847	0.07514491	0.10342264	-0.003925709	0.1747294	-0.015789285	-0.018220877	0.00017931173	-0.1788769	0.007106506	0.025310356	0.028597109	-0.015572486	-0.066583335	-0.056356076	-0.097055	0.26538682	0.085680015	-0.13128522	0.10002886	0.12443316	0.05450062	-0.1012034	-0.076249115
DB00741	-0.111998215	0.06835429	0.29520655	-0.047569044	-0.024538325	-0.08315997	-0.09339376	-0.21765895	0.15896346	-0.027356813	0.14144732	-0.06244261	-0.08229479	-0.11018359	-0.18548264	0.01966002	0.17671819	-0.03945693	-0.007272135	-0.10058962	0.08122228	0.039210334	0.16714904	-0.08846834	-0.031128746	-0.084932625	-0.18283564	0.12590821	0.20377655	0.14695346	0.21062037	0.108516715	0.010775101	-0.07486773	-0.21654172	-0.012851896	0.11477974	0.042751502	0.05899745	-0.09040912	-0.058676798	-0.27270925	0.28915623	0.10696056	-0.26203975	0.103472196	0.029332764	-0.058434144	-0.0069903196	-0.12777509
DB01002	-0.08041846	0.08069256	0.20577593	-0.041473866	-0.04158566	-0.1236923	-0.09097157	-0.14869533	0.04317639	-0.06205946	0.10214922	0.022489425	-0.07271945	-0.088141724	-0.16262652	-0.069239	0.15507764	0.001463228	0.0004387938	-0.06163602	0.15275091	0.038448684	0.17858066	-0.08123033	0.011453191	-0.101746745	-0.11939348	0.048314966	0.14164989	0.09457427	0.21365307	0.08286075	0.045303453	-0.101636834	-0.18689346	-0.02021471	0.11711695	-0.0012849161	0.028138664	-0.06853207	-0.11457176	-0.1567503	0.21438415	-0.033798523	-0.12701243	0.08157159	0.10419947	-0.015675157	0.016630739	-0.12656009
DB00578	-0.062288836	0.1023128	0.24570268	0.0070728185	-0.056027595	-0.120653585	-0.12146674	-0.18774332	0.028723136	-0.04965643	0.11011304	-0.09579282	-0.0538673	-0.01718075	-0.15798949	-0.053256243	0.18269941	0.027740771	-0.031513657	-0.045574155	0.15436004	0.07541744	0.19197698	-0.08142753	0.037601747	-0.0670049	-0.13639711	0.010162235	0.13278148	0.090079136	0.19129282	0.085400894	0.02503471	-0.10723471	-0.1688713	-0.028184071	0.12474115	0.03314575	0.025453564	0.02706815	-0.09235822	-0.18227275	0.2595385	-0.048862796	-0.12710075	0.0988522	0.052313417	0.02592045	-0.019313391	-0.14364967
DB01000	-0.08545891	0.06279027	0.25129828	-0.028934859	-0.097038895	-0.122401945	-0.12720405	-0.16652265	0.06665617	-0.062267095	0.120520495	-0.08898726	-0.052394833	-0.08563156	-0.16614175	-0.056349713	0.17099188	0.021541078	-0.020036044	-0.06626779	0.12143482	0.0254592	0.17876777	0.0614681	-0.03757593	-0.0740011	-0.15275483	0.07655787	0.13987327	0.09006335	0.1846672	0.04892601	0.036941335	-0.057104286	-0.19353399	0.00013472291	0.15137224	0.0455216	0.004982806	-0.08099767	-0.1323789	-0.1770367	0.20501862	-0.033246942	-0.11244763	0.08386142	0.116938815	0.015036526	-0.08433248	-0.15385221
DB01001	-0.105008505	0.078105524	0.29753646	-0.044971064	-0.06264451	-0.07302447	-0.07447714	-0.20693791	0.14367574	-0.026212513	0.14867127	-0.07296929	-0.10339266	-0.14263722	-0.16008025	0.009828525	0.1672009	-0.014939898	0.02677208	-0.10380002	0.10091301	0.10243551	0.17925987	-0.08052694	-0.05580227	-0.091829546	-0.10754174	0.104325324	0.1670153	0.124637455	0.21453452	0.12067984	0.026217405	-0.06293089	-0.20282002	-0.024784915	0.11889335	0.03812114	0.033174135	-0.0846912	-0.03666009	-0.22974415	0.2664181	0.08716152	-0.14453961	0.10325227	0.052850105	-0.008460346	-0.082913764	-0.10623269
DB01006	-0.11620709	0.06788272	0.21706977	-0.078962155	-0.027010225	-0.0953731	-0.11580774	-0.18787946	0.038224954	-0.040535457	0.12562431	-0.10723275	-0.06447539	-0.08598	-0.13846529	-0.039739862	0.16976573	-0.026440922	-0.012575314	-0.06991126	0.06386909	0.0982214	0.18036376	-0.0820739	0.018357316	-0.10699062	-0.15596291	-0.008922479	0.13304852	0.092931695	0.23285948	0.05059942	0.02461812	-0.0034286948	-0.22722714	-0.029851923	0.14765978	0.01905626	0.025124513	-0.08158091	-0.07767504	-0.24428968	0.26730037	0.055120714	-0.20059967	0.08207659	0.039913617	0.024883803	0.019209523	-0.13986848
DB01007	-0.093720004	0.084887415	0.2609843	-0.024911745	-0.037147403	-0.10248854	-0.0989084	-0.2263415	0.020693148	-0.033052437	0.1166546	-0.0779702	-0.07529434	-0.079904675	-0.1538521	-0.010221442	0.1562383	0.0052715163	-0.028278189	-0.056011338	0.14746606	0.054816544	0.19457152	-0.06356668	-0.04379866	-0.09154915	-0.14260793	0.07890243	0.1837979	0.12797898	0.2191789	0.10384283	-0.0119323	-0.042639434	-0.20540003	0.013032359	0.13462795	-0.019483296	0.029714338	-0.04136995	-0.08773621	-0.17463724	0.2398879	0.08771338	-0.24674743	0.09542801	0.004915076	-0.012262658	-0.08633629	-0.13356799
DB01004	-0.09169897	0.063142024	0.24162938	-0.055083208	-0.0596532	-0.09701531	-0.08557251	-0.21135041	0.05206385	-0.023652256	0.14522342	-0.093049474	-0.065386094	-0.085351266	-0.1649617	-0.063065	0.16564485	0.0057176133	-0.009977293	-0.096627735	0.10367079	0.06540348	0.19951949	-0.08393844	0.016530558	-0.0008504011	-0.16593313	0.046692807	0.13019298	0.13090937	0.21113451	0.065496475	0.045855753	-0.082178235	-0.20759901	-0.0077413665	0.1515333	0.031963293	0.03194586	-0.05639622	-0.10206283	-0.20953006	0.2720514	0.07293102	-0.15901138	0.101458825	0.09820476	-0.02024517	-0.13202827	-0.13038921
